schuljahr;abschlussart;geschlecht;anzahl;anzahl_numerisch
1994/95;ohne Hauptschulabschluss;männlich;2317;2317
1995/96;ohne Hauptschulabschluss;männlich;2317;2317
1996/97;ohne Hauptschulabschluss;männlich;2188;2188
1997/98;ohne Hauptschulabschluss;männlich;2204;2204
1998/99;ohne Hauptschulabschluss;männlich;2607;2607
1999/00;ohne Hauptschulabschluss;männlich;2568;2568
2000/01;ohne Hauptschulabschluss;männlich;2431;2431
2001/02;ohne Hauptschulabschluss;männlich;1973;1973
2002/03;ohne Hauptschulabschluss;männlich;1827;1827
2003/04;ohne Hauptschulabschluss;männlich;1529;1529
2004/05;ohne Hauptschulabschluss;männlich;1343;1343
2005/06;ohne Hauptschulabschluss;männlich;1156;1156
2006/07;ohne Hauptschulabschluss;männlich;883;883
2007/08;ohne Hauptschulabschluss;männlich;715;715
2008/09;ohne Hauptschulabschluss;männlich;538;538
2009/10;ohne Hauptschulabschluss;männlich;446;446
2010/11;ohne Hauptschulabschluss;männlich;438;438
2011/12;ohne Hauptschulabschluss;männlich;443;443
2012/13;ohne Hauptschulabschluss;männlich;457;457
2013/14;ohne Hauptschulabschluss;männlich;531;531
2014/15;ohne Hauptschulabschluss;männlich;473;473
2015/16;ohne Hauptschulabschluss;männlich;547;547
2016/17;ohne Hauptschulabschluss;männlich;647;647
2017/18;ohne Hauptschulabschluss;männlich;704;704
2018/19;ohne Hauptschulabschluss;männlich;736;736
2019/20;ohne Hauptschulabschluss;männlich;563;563
2020/21;ohne Hauptschulabschluss;männlich;571;571
2021/22;ohne Hauptschulabschluss;männlich;684;684
2022/23;ohne Hauptschulabschluss;männlich;652;652
2023/24;ohne Hauptschulabschluss;männlich;847;847
2024/25;ohne Hauptschulabschluss;männlich;909;909
1994/95;ohne Hauptschulabschluss;weiblich;826;826
1995/96;ohne Hauptschulabschluss;weiblich;815;815
1996/97;ohne Hauptschulabschluss;weiblich;830;830
1997/98;ohne Hauptschulabschluss;weiblich;852;852
1998/99;ohne Hauptschulabschluss;weiblich;1297;1297
1999/00;ohne Hauptschulabschluss;weiblich;1279;1279
2000/01;ohne Hauptschulabschluss;weiblich;1151;1151
2001/02;ohne Hauptschulabschluss;weiblich;841;841
2002/03;ohne Hauptschulabschluss;weiblich;860;860
2003/04;ohne Hauptschulabschluss;weiblich;698;698
2004/05;ohne Hauptschulabschluss;weiblich;603;603
2005/06;ohne Hauptschulabschluss;weiblich;574;574
2006/07;ohne Hauptschulabschluss;weiblich;455;455
2007/08;ohne Hauptschulabschluss;weiblich;355;355
2008/09;ohne Hauptschulabschluss;weiblich;314;314
2009/10;ohne Hauptschulabschluss;weiblich;296;296
2010/11;ohne Hauptschulabschluss;weiblich;274;274
2011/12;ohne Hauptschulabschluss;weiblich;271;271
2012/13;ohne Hauptschulabschluss;weiblich;291;291
2013/14;ohne Hauptschulabschluss;weiblich;306;306
2014/15;ohne Hauptschulabschluss;weiblich;349;349
2015/16;ohne Hauptschulabschluss;weiblich;321;321
2016/17;ohne Hauptschulabschluss;weiblich;362;362
2017/18;ohne Hauptschulabschluss;weiblich;365;365
2018/19;ohne Hauptschulabschluss;weiblich;384;384
2019/20;ohne Hauptschulabschluss;weiblich;313;313
2020/21;ohne Hauptschulabschluss;weiblich;351;351
2021/22;ohne Hauptschulabschluss;weiblich;402;402
2022/23;ohne Hauptschulabschluss;weiblich;469;469
2023/24;ohne Hauptschulabschluss;weiblich;592;592
2024/25;ohne Hauptschulabschluss;weiblich;610;610
1994/95;ohne Hauptschulabschluss;Insgesamt;3143;3143
1995/96;ohne Hauptschulabschluss;Insgesamt;3132;3132
1996/97;ohne Hauptschulabschluss;Insgesamt;3018;3018
1997/98;ohne Hauptschulabschluss;Insgesamt;3056;3056
1998/99;ohne Hauptschulabschluss;Insgesamt;3904;3904
1999/00;ohne Hauptschulabschluss;Insgesamt;3847;3847
2000/01;ohne Hauptschulabschluss;Insgesamt;3582;3582
2001/02;ohne Hauptschulabschluss;Insgesamt;2814;2814
2002/03;ohne Hauptschulabschluss;Insgesamt;2687;2687
2003/04;ohne Hauptschulabschluss;Insgesamt;2227;2227
2004/05;ohne Hauptschulabschluss;Insgesamt;1946;1946
2005/06;ohne Hauptschulabschluss;Insgesamt;1730;1730
2006/07;ohne Hauptschulabschluss;Insgesamt;1338;1338
