schuljahr,abschlussart,geschlecht,schulart,anzahl
1994/95,ohne Hauptschulabschluss,männlich,Grundschulen,-
1994/95,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2317
1994/95,ohne Hauptschulabschluss,männlich,Gymnasien,274
1994/95,ohne Hauptschulabschluss,männlich,Förderschulen,1683
1994/95,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,-
1994/95,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1994/95,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1994/95,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
1994/95,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1995/96,ohne Hauptschulabschluss,männlich,Grundschulen,-
1995/96,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2317
1995/96,ohne Hauptschulabschluss,männlich,Gymnasien,73
1995/96,ohne Hauptschulabschluss,männlich,Förderschulen,1797
1995/96,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
1995/96,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1995/96,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1995/96,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
1995/96,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1996/97,ohne Hauptschulabschluss,männlich,Grundschulen,-
1996/97,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2188
1996/97,ohne Hauptschulabschluss,männlich,Gymnasien,81
1996/97,ohne Hauptschulabschluss,männlich,Förderschulen,1768
1996/97,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,2
1996/97,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1996/97,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1996/97,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
1996/97,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1997/98,ohne Hauptschulabschluss,männlich,Grundschulen,-
1997/98,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2204
1997/98,ohne Hauptschulabschluss,männlich,Gymnasien,28
1997/98,ohne Hauptschulabschluss,männlich,Förderschulen,1896
1997/98,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,9
1997/98,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1997/98,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1997/98,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
1997/98,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1998/99,ohne Hauptschulabschluss,männlich,Grundschulen,-
1998/99,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2607
1998/99,ohne Hauptschulabschluss,männlich,Gymnasien,35
1998/99,ohne Hauptschulabschluss,männlich,Förderschulen,2028
1998/99,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,4
1998/99,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1998/99,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1998/99,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
1998/99,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
1999/00,ohne Hauptschulabschluss,männlich,Grundschulen,-
1999/00,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2568
1999/00,ohne Hauptschulabschluss,männlich,Gymnasien,61
1999/00,ohne Hauptschulabschluss,männlich,Förderschulen,2209
1999/00,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,15
1999/00,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
1999/00,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
1999/00,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
1999/00,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
2000/01,ohne Hauptschulabschluss,männlich,Grundschulen,-
2000/01,ohne Hauptschulabschluss,männlich,Schularten mit mehreren Bildungsgängen,2431
2000/01,ohne Hauptschulabschluss,männlich,Gymnasien,43
2000/01,ohne Hauptschulabschluss,männlich,Förderschulen,1999
2000/01,ohne Hauptschulabschluss,männlich,Freie Waldorfschulen,9
2000/01,ohne Hauptschulabschluss,männlich,Gemeinschaftsschulen,-
2000/01,ohne Hauptschulabschluss,männlich,Integrierte Gesamtschulen,-
2000/01,ohne Hauptschulabschluss,männlich,Schulen des zweiten Bildungsweges,x
2000/01,ohne Hauptschulabschluss,männlich,außerdem Schulkindergärten entspr.Vorbereitungskl.,-
