schuljahr;traegerschaft;schulen;schueler_gesamt;schueler_maennlich;schueler_weiblich;lehrpersonen_gesamt;lehrpersonen_maennlich;lehrpersonen_weiblich
1992/1993;öffentlich;661;222966;124441;98525;15338;4930;10408
1993/1994;öffentlich;660;216454;120889;95565;14954;4687;10267
1994/1995;öffentlich;661;217118;120315;96803;14985;4717;10268
1995/1996;öffentlich;657;220138;120186;99952;14622;4577;10045
1996/1997;öffentlich;653;222004;119757;102247;14128;4330;9798
1997/1998;öffentlich;646;220349;118192;102157;14290;4348;9942
1998/1999;öffentlich;642;217258;116066;101192;14208;4311;9897
1999/2000;öffentlich;636;213067;113409;99658;13936;4236;9700
2000/2001;öffentlich;624;207024;110026;96998;13522;4057;9465
2001/2002;öffentlich;611;194704;103543;91161;13190;3910;9280
2002/2003;öffentlich;571;174977;93034;81943;12793;3734;9059
2003/2004;öffentlich;518;153734;81680;72054;12300;3463;8837
2004/2005;öffentlich;456;132333;70268;62065;11717;3223;8494
2005/2006;öffentlich;402;110302;58531;51771;11026;2931;8095
2006/2007;öffentlich;338;91658;48460;43198;10163;2638;7525
2007/2008;öffentlich;308;79609;41838;37771;9503;2362;7141
2008/2009;öffentlich;290;75911;39722;36189;9221;2267;6954
2009/2010;öffentlich;282;75644;39515;36129;8972;2156;6816
2010/2011;öffentlich;280;77655;40601;37054;8621;2045;6576
2011/2012;öffentlich;277;82254;43034;39220;8099;1923;6176
2012/2013;öffentlich;278;85965;45031;40934;7811;1857;5954
2013/2014;öffentlich;278;88244;46307;41937;7730;1836;5894
2014/2015;öffentlich;278;90417;47353;43064;7742;1844;5898
2015/2016;öffentlich;279;93434;49173;44261;7821;1880;5941
2016/2017;öffentlich;279;95946;50696;45250;7840;1976;5864
2017/2018;öffentlich;280;96663;50931;45732;7987;2138;5849
2018/2019;öffentlich;283;97982;51616;46366;7899;2174;5725
2019/2020;öffentlich;285;99367;52284;47083;7836;2238;5598
2020/2021;öffentlich;287;100668;53093;47575;7812;2321;5491
2021/2022;öffentlich;286;100535;53067;47468;7702;2392;5310
2022/2023;öffentlich;283;103630;54569;49061;7596;2354;5242
2023/2024;öffentlich;284;105387;55717;49670;7534;2379;5155
2024/2025;öffentlich;286;106866;56478;50388;7329;2360;4969
2025/2026;öffentlich;287;108596;57554;51042;7326;2424;4902
1992/1993;frei;1;81;57;24;4;0;4
1993/1994;frei;2;565;316;249;36;13;23
1994/1995;frei;2;181;115;66;8;3;5
1995/1996;frei;2;233;146;87;12;3;9
1996/1997;frei;4;604;362;242;43;14;29
1997/1998;frei;5;751;436;315;57;18;39
1998/1999;frei;6;889;494;395;63;16;47
1999/2000;frei;7;1082;590;492;79;20;59
2000/2001;frei;8;1228;659;569;85;24;61
2001/2002;frei;8;1391;744;647;99;27;72
2002/2003;frei;10;1683;902;781;121;36;85
2003/2004;frei;10;1873;1006;867;139;38;101
2004/2005;frei;13;2092;1112;980;156;40;116
2005/2006;frei;22;2521;1311;1210;196;60;136
2006/2007;frei;27;2994;1550;1444;231;71;160
2007/2008;frei;40;3698;1930;1768;305;94;211
2008/2009;frei;43;4629;2448;2181;353;106;247
2009/2010;frei;51;5632;2966;2666;444;143;301
2010/2011;frei;59;6750;3559;3191;553;172;381
2011/2012;frei;58;7714;4054;3660;626;216;410
2012/2013;frei;58;8571;4498;4073;752;264;488
2013/2014;frei;58;9242;4915;4327;857;293;564
2014/2015;frei;58;9793;5144;4649;946;335;611
2015/2016;frei;61;10328;5471;4857;970;350;620
2016/2017;frei;68;11029;5810;5219;1057;407;650
2017/2018;frei;70;11747;6166;5581;1105;424;681
2018/2019;frei;74;12571;6608;5963;1227;472;755
2019/2020;frei;78;13459;7003;6456;1310;497;813
2020/2021;frei;78;14266;7348;6918;1439;561;878
2021/2022;frei;79;15259;7810;7449;1508;598;910
2022/2023;frei;82;15948;8121;7827;1615;633;982
2023/2024;frei;83;16652;8472;8180;1684;655;1029
2024/2025;frei;86;17281;8759;8522;1795;697;1098
2025/2026;frei;86;17864;9016;8848;1872;730;1142
