schuljahr;schueler;lehrpersonen;traegerschaft
1992/1993;222966;15338;öffentlich
1993/1994;216454;14954;öffentlich
1994/1995;217118;14985;öffentlich
1995/1996;220138;14622;öffentlich
1996/1997;222004;14128;öffentlich
1997/1998;220349;14290;öffentlich
1998/1999;217258;14208;öffentlich
1999/2000;213067;13936;öffentlich
2000/2001;207024;13522;öffentlich
2001/2002;194704;13190;öffentlich
2002/2003;174977;12793;öffentlich
2003/2004;153734;12300;öffentlich
2004/2005;132333;11717;öffentlich
2005/2006;110302;11026;öffentlich
2006/2007;91658;10163;öffentlich
2007/2008;79609;9503;öffentlich
2008/2009;75911;9221;öffentlich
2009/2010;75644;8972;öffentlich
2010/2011;77655;8621;öffentlich
2011/2012;82254;8099;öffentlich
2012/2013;85965;7811;öffentlich
2013/2014;88244;7730;öffentlich
2014/2015;90417;7742;öffentlich
2015/2016;93434;7821;öffentlich
1992/1993;81;4;frei
1993/1994;565;36;frei
1994/1995;181;8;frei
1995/1996;233;12;frei
1996/1997;604;43;frei
1997/1998;751;57;frei
1998/1999;889;63;frei
1999/2000;1082;79;frei
2000/2001;1228;85;frei
2001/2002;1391;99;frei
2002/2003;1683;121;frei
2003/2004;1873;139;frei
2004/2005;2092;156;frei
2005/2006;2521;196;frei
2006/2007;2994;231;frei
2007/2008;3698;305;frei
2008/2009;4629;353;frei
2009/2010;5632;444;frei
2010/2011;6750;553;frei
2011/2012;7714;626;frei
2012/2013;8571;752;frei
2013/2014;9242;857;frei
2014/2015;9793;946;frei
2015/2016;10328;970;frei
2016/2017;95946;7840;öffentlich
2016/2017;11029;1057;frei
2017/2018;96663;7987;öffentlich
2017/2018;11747;1105;frei
2018/2019;97982;7899;öffentlich
2018/2019;12571;1227;frei
2019/2020;99367;7836;öffentlich
2019/2020;13459;1310;frei
2020/2021;100668;7812;öffentlich
2020/2021;14266;1439;frei
2021/2022;101633;7782;öffentlich
2021/2022;15259;1508;frei
2022/2023;103630;7596;öffentlich
2022/2023;15948;1615;frei
2023/2024;105387;7534;öffentlich
2023/2024;16652;1684;frei
2024/2025;106866;7329;öffentlich
2024/2025;17281;1795;frei
2025/2026;108596;7326;öffentlich
2025/2026;17864;1872;frei
