schuljahr;schulen_anzahl;klassen_anzahl;schueler_gesamt;schueler_maennlich;schueler_weiblich;lehrpersonen_gesamt;lehrpersonen_maennlich;lehrpersonen_weiblich
1995/96;659;9471;220371;120332;100039;14634;4580;10054
1996/97;657;9322;222608;120119;102489;14171;4344;9827
1997/98;651;9210;221100;118628;102472;14347;4366;9981
1998/99;648;9170;218147;116560;101587;14271;4327;9944
1999/00;643;9033;214149;113999;100150;14015;4256;9759
2000/01;632;8733;208252;110685;97567;13607;4081;9526
2001/02;619;8211;196095;104287;91808;13289;3937;9352
2002/03;581;7568;176660;93936;82724;12914;3770;9144
2003/04;528;6745;155607;82686;72921;12439;3501;8938
2004/05;469;5940;134425;71380;63045;11873;3263;8610
2005/06;424;5061;112823;59842;52981;11222;2991;8231
2006/07;365;4297;94652;50010;44642;10394;2709;7685
2007/08;348;3862;83307;43768;39539;9808;2456;7352
2008/09;333;3738;80540;42170;38370;9574;2373;7201
2009/10;333;3759;81276;42481;38795;9416;2299;7117
2010/11;339;3872;84405;44160;40245;9174;2217;6957
2011/12;335;4049;89968;47088;42880;8725;2139;6586
2012/13;336;4165;94536;49529;45007;8563;2121;6442
2013/14;336;4265;97486;51222;46264;8587;2129;6458
2014/15;336;4374;100210;52497;47713;8688;2179;6509
2015/16;340;4528;103762;54644;49118;8791;2230;6561
2016/17;347;4552;106975;56506;50469;8897;2383;6514
2017/18;350;4605;108410;57097;51313;9092;2562;6530
2018/19;357;4716;110553;58224;52329;9126;2646;6480
2019/20;363;4830;112826;59287;53539;9146;2735;6411
2020/21;365;4918;114934;60441;54493;9251;2882;6369
2021/22;368;5022;116892;61453;55439;9290;3010;6280
2022/23;368;5020;120165;63001;57164;9287;3005;6282
2023/24;370;5120;122653;64504;58149;9304;3057;6247
2024/25;375;5224;124719;65540;59179;9219;3082;6137
2025/26;376;5329;127078;66913;60165;9259;3168;6091
