GENESIS-Tabelle: 21111-053
Allgemeinb. Schulen: Absolventen / Abgänger,;;;;;;;;;;;
Schulart (12), Geschlecht 2), Abschlussart (5);;;;;;;;;;;
- Sachsen - Schuljahre;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;
Freistaat Sachsen;;;;;;;;;;;
Absolventen / Abgänger 1) (Anzahl);;;;;;;;;;;
;;;Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8);Schulart (allgemeinbildend) (8)
;;;Grundschulen;Schularten mit mehreren Bildungsgängen;Gymnasien;Förderschulen;Freie Waldorfschulen;Gemeinschaftsschulen;Integrierte Gesamtschulen;Schulen des zweiten Bildungsweges;außerdem Schulkindergärten entspr.Vorbereitungskl.
ohne Hauptschulabschluss;männlich;1994/95;-;2317;274;1683;-;-;-;x;-
ohne Hauptschulabschluss;männlich;1995/96;-;2317;73;1797;2;-;-;x;-
ohne Hauptschulabschluss;männlich;1996/97;-;2188;81;1768;2;-;-;x;-
ohne Hauptschulabschluss;männlich;1997/98;-;2204;28;1896;9;-;-;x;-
ohne Hauptschulabschluss;männlich;1998/99;-;2607;35;2028;4;-;-;x;-
ohne Hauptschulabschluss;männlich;1999/00;-;2568;61;2209;15;-;-;x;-
ohne Hauptschulabschluss;männlich;2000/01;-;2431;43;1999;9;-;-;x;-
ohne Hauptschulabschluss;männlich;2001/02;-;1973;79;1937;-;-;-;x;-
ohne Hauptschulabschluss;männlich;2002/03;-;1827;18;1853;-;-;-;x;-
ohne Hauptschulabschluss;männlich;2003/04;-;1529;7;1872;2;-;-;x;-
ohne Hauptschulabschluss;männlich;2004/05;-;1343;25;1812;-;-;-;x;-
ohne Hauptschulabschluss;männlich;2005/06;-;1156;27;1630;-;-;-;x;-
ohne Hauptschulabschluss;männlich;2006/07;-;883;6;1485;3;-;-;x;-
ohne Hauptschulabschluss;männlich;2007/08;-;715;10;1269;-;-;-;x;-
