schuljahr;traegerschaft;schulen;schueler_gesamt;schueler_maennlich;schueler_weiblich;lehrpersonen_gesamt;lehrpersonen_maennlich;lehrpersonen_weiblich
1992/1993;frei;1;81;57;24;4;;4
1993/1994;frei;2;565;316;249;36;13;23
1994/1995;frei;2;181;115;66;8;3;5
1995/1996;frei;2;233;146;87;12;3;9
1996/1997;frei;4;604;362;242;43;14;29
1997/1998;frei;5;751;436;315;57;18;39
1998/1999;frei;6;889;494;395;63;16;47
1999/2000;frei;7;1082;590;492;79;20;59
2000/2001;frei;8;1228;659;569;85;24;61
2001/2002;frei;8;1391;744;647;99;27;72
2002/2003;frei;10;1683;902;781;121;36;85
2003/2004;frei;10;1873;1006;867;139;38;101
2004/2005;frei;13;2092;1112;980;156;40;116
2005/2006;frei;22;2521;1311;1210;196;60;136
2006/2007;frei;27;2994;1550;1444;231;71;160
2007/2008;frei;40;3698;1930;1768;305;94;211
2008/2009;frei;43;4629;2448;2181;353;106;247
2009/2010;frei;51;5632;2966;2666;444;143;301
2010/2011;frei;59;6750;3559;3191;553;172;381
2011/2012;frei;58;7714;4054;3660;626;216;410
2012/2013;frei;58;8571;4498;4073;752;264;488
2013/2014;frei;58;9242;4915;4327;857;293;564
2014/2015;frei;58;9793;5144;4649;946;335;611
2015/2016;frei;61;10328;5471;4857;970;350;620
2016/2017;frei;68;11029;5810;5219;1057;407;650
2017/2018;frei;70;11747;6166;5581;1105;424;681
2018/2019;frei;74;12571;6608;5963;1227;472;755
2019/2020;frei;78;13459;7003;6456;1310;497;813
2020/2021;frei;78;14266;7348;6918;1439;561;878
2021/2022;frei;79;15259;7810;7449;1508;598;910
2022/2023;frei;82;15948;8121;7827;1615;633;982
2023/2024;frei;83;16652;8472;8180;1684;655;1029
2024/2025;frei;86;17281;8759;8522;1795;697;1098
2025/2026;frei;86;17864;9016;8848;1872;730;1142
