"id","name","owner_id","owner_abbreviation","owner_name","owner_type"
"280","1. Oberschule Großenhain ""Am Kupferberg""","402","","Stadt Großenhain","15"
"2158","1. Oberschule Kamenz","833","","Landkreis Bautzen","16"
"485","101. Oberschule ""Johannes Gutenberg""","874","","Stadt Dresden","14"
"3763","107. Oberschule Dresden","874","","Stadt Dresden","14"
"584","116. Oberschule Dresden","874","","Stadt Dresden","14"
"581","121. Oberschule Dresden ""Johann Georg Palitzsch""","874","","Stadt Dresden","14"
"2394","125. Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"1538","128. Oberschule ""Carola von Wasa""","874","","Stadt Dresden","14"
"1571","138. Oberschule Dresden","874","","Stadt Dresden","14"
"3994","145. Oberschule Dresden-Pieschen","874","","Stadt Dresden","14"
"2395","16. Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"2236","2. Oberschule ""Am Schacht"" Großenhain","402","","Stadt Großenhain","15"
"4243","205. Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"2046","25. Oberschule Dresden","874","","Stadt Dresden","14"
"2065","30. Oberschule Dresden","874","","Stadt Dresden","14"
"2050","32. Oberschule Dresden","874","","Stadt Dresden","14"
"2053","35. Oberschule Dresden","874","","Stadt Dresden","14"
"840","35. Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"596","36. Oberschule Dresden","874","","Stadt Dresden","14"
"568","46. Oberschule Dresden","874","","Stadt Dresden","14"
"4231","5. Oberschule Görlitz","367","","Stadt Görlitz","15"
"571","55. Oberschule Dresden ""Gottlieb Traugott Bienert""","874","","Stadt Dresden","14"
"2052","56. Oberschule Dresden","874","","Stadt Dresden","14"
"2384","56. Schule - Oberschule der Stadt Leipzig","876","","Stadt Leipzig","14"
"2062","62. Oberschule ""Friedrich Schiller""","874","","Stadt Dresden","14"
"2049","64. Oberschule Dresden","874","","Stadt Dresden","14"
"2059","66. Oberschule Dresden","874","","Stadt Dresden","14"
"2056","76. Oberschule Dresden ""Am Briesnitzer Schulberg""","874","","Stadt Dresden","14"
"2067","82. Oberschule Dresden ""Am Flughafen""","874","","Stadt Dresden","14"
"2063","88. Oberschule ""Am Pillnitzer Elbhang"" Dresden","874","","Stadt Dresden","14"
"1552","9. Oberschule ""Am Elbe Park""","874","","Stadt Dresden","14"
"939","94. Schule - Oberschule im Schulzentrum Grünau der Stadt Leipzig","876","","Stadt Leipzig","14"
"3283","Achatschule St. Egidien-Oberschule mit Berufsorientierung (Schule in freier Trägerschaft)","6046","KIBIS","Kinderbetreuungs- und Bildungsträger St. Egidien gGmbH","20"
"388","Adolf-Traugott-von-Gersdorf- Oberschule","443","","Gemeinde Kodersdorf","12"
"4240","AHFOberschule Markkleeberg (Schule in freier Trägerschaft)","6067","AHF","AHFSchulverein e. V.","20"
