"id","name","institution_key","abbreviation","owner_id","owner_abbreviation","owner_name","owner_type"
"280","1. Oberschule Großenhain ""Am Kupferberg""","4331195","oaos-grossenhain-001","402","","Stadt Großenhain","15"
"2158","1. Oberschule Kamenz","4130712","oaos-kamenz-001","833","","Landkreis Bautzen","16"
"485","101. Oberschule ""Johannes Gutenberg""","4330429","oaos-dresden-101","874","","Stadt Dresden","14"
"3763","107. Oberschule Dresden","4331666","oaos-dresden-107","874","","Stadt Dresden","14"
"584","116. Oberschule Dresden","4330163","oaos-dresden-116","874","","Stadt Dresden","14"
"581","121. Oberschule Dresden ""Johann Georg Palitzsch""","4330171","oaos-dresden-121","874","","Stadt Dresden","14"
"2394","125. Schule - Oberschule der Stadt Leipzig","4431151","oaos-leipzig-125","876","","Stadt Leipzig","14"
"1538","128. Oberschule ""Carola von Wasa""","4330486","oaos-dresden-128","874","","Stadt Dresden","14"
"1571","138. Oberschule Dresden","4330411","oaos-dresden-138","874","","Stadt Dresden","14"
"3994","145. Oberschule Dresden-Pieschen","4331732","oaos-dresden-145","874","","Stadt Dresden","14"
"2395","16. Schule - Oberschule der Stadt Leipzig","4431201","oaos-leipzig-016","876","","Stadt Leipzig","14"
"2236","2. Oberschule ""Am Schacht"" Großenhain","4331203","oaos-grossenhain-002","402","","Stadt Großenhain","15"
"4243","205. Schule - Oberschule der Stadt Leipzig","4431698","oaos-leipzig-205","876","","Stadt Leipzig","14"
"2046","25. Oberschule Dresden","4330437","oaos-dresden-025","874","","Stadt Dresden","14"
"2065","30. Oberschule Dresden","4330247","oaos-dresden-030","874","","Stadt Dresden","14"
"2050","32. Oberschule Dresden","4330270","oaos-dresden-032","874","","Stadt Dresden","14"
"2053","35. Oberschule Dresden","4330080","oaos-dresden-035","874","","Stadt Dresden","14"
"840","35. Schule - Oberschule der Stadt Leipzig","4431383","oaos-leipzig-035","876","","Stadt Leipzig","14"
"596","36. Oberschule Dresden","4330122","oaos-dresden-036","874","","Stadt Dresden","14"
"568","46. Oberschule Dresden","4330320","oaos-dresden-046","874","","Stadt Dresden","14"
"4231","5. Oberschule Görlitz","4131413","oaos-goerlitz-5","367","","Stadt Görlitz","15"
"571","55. Oberschule Dresden ""Gottlieb Traugott Bienert""","4330403","oaos-dresden-055","874","","Stadt Dresden","14"
"2052","56. Oberschule Dresden","4330072","oaos-dresden-056","874","","Stadt Dresden","14"
"2384","56. Schule - Oberschule der Stadt Leipzig","4431060","oaos-leipzig-056","876","","Stadt Leipzig","14"
"2062","62. Oberschule ""Friedrich Schiller""","4330148","oaos-dresden-062","874","","Stadt Dresden","14"
"2049","64. Oberschule Dresden","4330338","oaos-dresden-064","874","","Stadt Dresden","14"
"2059","66. Oberschule Dresden","4330106","oaos-dresden-066","874","","Stadt Dresden","14"
"2056","76. Oberschule Dresden ""Am Briesnitzer Schulberg""","4330395","oaos-dresden-076","874","","Stadt Dresden","14"
"2067","82. Oberschule Dresden ""Am Flughafen""","4330197","oaos-dresden-082","874","","Stadt Dresden","14"
"2063","88. Oberschule ""Am Pillnitzer Elbhang"" Dresden","4330114","oaos-dresden-088","874","","Stadt Dresden","14"
"1552","9. Oberschule ""Am Elbe Park""","4330353","oaos-dresden-009","874","","Stadt Dresden","14"
"939","94. Schule - Oberschule im Schulzentrum Grünau der Stadt Leipzig","4431268","oaos-leipzig-094","876","","Stadt Leipzig","14"
"3283","Achatschule St. Egidien-Oberschule mit Berufsorientierung (Schule in freier Trägerschaft)","4531125","faos-egidien-KIBIS","6046","KIBIS","Kinderbetreuungs- und Bildungsträger St. Egidien gGmbH","20"
"388","Adolf-Traugott-von-Gersdorf- Oberschule","4130175","oaos-kodersdorf","443","","Gemeinde Kodersdorf","12"
"4240","AHFOberschule Markkleeberg (Schule in freier Trägerschaft)","4431680","faos-markkleeberg-AHF","6067","AHF","AHFSchulverein e. V.","20"
"4054","Aktive Schule Leipzig - Freie Oberschule (Schule in freier Trägerschaft)","4431615","faos-leipzig-ASL","6111","ASL","Aktive Schule Leipzig e.V.","20"
"1881","Albert-Schweitzer-Oberschule","4230314","oaos-chemnitz-schwei","873","","Stadt Chemnitz","14"
"4045","Alexander-von-Humboldt-Oberschule Chemnitz","4233037","oaos-chemnitz-humb","873","","Stadt Chemnitz","14"
"3962","Aktive Schule Dresden Oberschule des epharisto e.V. (Schule in freier Trägerschaft)","4331716","faos-dresden-EPHA","6142","EPHA","epharisto e.V.","22"
"1984","Altstadtschule Stollberg, Oberschule","4231049","oaos-stollberg","257","","Stadt Stollberg","15"
"4215","Alwine-Winter-Schule - Oberschule der Stadt Leipzig","4431672","oaos-leipzig-winter","876","","Stadt Leipzig","14"
"2189","Andert-Oberschule Ebersbach","4130977","oaos-ebersbach.n","345","","Stadt Ebersbach-Neugersdorf","13"
"2379","Apollonia-von-Wiedebach-Schule - Oberschule der Stadt Leipzig","4431433","oaos-leipzig-wiedeb","876","","Stadt Leipzig","14"
"308","Arthur-Kießling-Oberschule Königsbrück","4130753","oaos-koenigsbrueck","833","","Landkreis Bautzen","16"
"2306","Artur-Becker-Oberschule Delitzsch","4430385","oaos-delitzsch-beck","760","","Stadt Delitzsch","15"
"4130","Barnet-Licht-Schule - Oberschule der Stadt Leipzig","4431656","oaos-leipzig-barnet","876","","Stadt Leipzig","14"
"949","Bildungszentrum Adam Ries, Oberschule","4231098","oaos-annaberg-ries","867","","Stadt Annaberg-Buchholz","15"
"2665","Bischöfliches Maria-Montessori-Schulzentrum Leipzig Oberschule (Schule in freier Trägerschaft)","4431441","faos-leipzig-BIDM","1091","BIDM","Bistum Dresden-Meißen","21"
"114","Bruno-Bürgel-Oberschule Weißwasser","4130464","oaos-weisswasser","411","","Stadt Weißwasser/O.L.","15"
"3354","Carl-Friedrich-Goerdeler-Oberschule Leipzig (Schule in freier Trägerschaft)","4431482","faos-leipzig-SEMPW","1020","SEMPW","Gemeinnützige Gesellschaft Semper Bildungswerk mbH","29"
"2370","Caroline-Neuber-Schule, Oberschule im Deutsch-Französischen Bildungszentrum der Stadt Leipzig","4431110","oaos-leipzig-neuber","876","","Stadt Leipzig","14"
"2389","Christian-Gottlob-Frege-Schule - Oberschule der Stadt Leipzig","4431128","oaos-leipzig-frege","876","","Stadt Leipzig","14"
